"","Number","German","English"
"1",1,"wie","as"
"2",2,"ich","I"
"3",3,"seine","his"
"4",4,"dass","that"
"5",5,"er","he"
"6",6,"war","was"
"7",7,"für","for"
"8",8,"auf","on"
"9",9,"sind","are"
"10",10,"mit","with"
"11",11,"sie","they"
"12",12,"sein","be"
"13",13,"bei","at"
"14",14,"ein","one"
"15",15,"haben","have"
"16",16,"dies","this"
"17",17,"aus","from"
"18",18,"durch","by"
"19",19,"heiß","hot"
"20",20,"Wort","word"
"21",21,"aber","but"
"22",22,"was","what"
"23",23,"einige","some"
"24",24,"ist","is"
"25",25,"es","it"
"26",26,"Sie","you"
"27",27,"oder","or"
"28",28,"hatte","had"
"29",29,"die","the"
"30",30,"von","of"
"31",31,"zu","to"
"32",32,"und","and"
"33",33,"ein","a"
"34",34,"bei","in"
"35",35,"wir","we"
"36",36,"können","can"
"37",37,"aus","out"
"38",38,"andere","other"
"39",39,"waren","were"
"40",40,"die","which"
"41",41,"tun","do"
"42",42,"ihre","their"
"43",43,"Zeit","time"
"44",44,"wenn","if"
"45",45,"werden","will"
"46",46,"wie","how"
"47",47,"sagte","said"
"48",48,"ein","an"
"49",49,"jeder","each"
"50",50,"sagen","tell"
"51",51,"tut","does"
"52",52,"Satz","set"
"53",53,"drei","three"
"54",54,"wollen","want"
"55",55,"Luft","air"
"56",56,"gut","well"
"57",57,"auch","also"
"58",58,"spielen","play"
"59",59,"klein","small"
"60",60,"Ende","end"
"61",61,"setzen","put"
"62",62,"Zuhause","home"
"63",63,"lesen","read"
"64",64,"seits","hand"
"65",65,"Hafen","port"
"66",66,"groß","large"
"67",67,"buchstabieren","spell"
"68",68,"hinzufügen","add"
"69",69,"auch","even"
"70",70,"Lande","land"
"71",71,"hier","here"
"72",72,"muss","must"
"73",73,"groß","big"
"74",74,"hoch","high"
"75",75,"so","such"
"76",76,"folgen","follow"
"77",77,"Akt","act"
"78",78,"warum","why"
"79",79,"fragen","ask"
"80",80,"Männer","men"
"81",81,"Veränderung","change"
"82",82,"ging","went"
"83",83,"Licht","light"
"84",84,"Art","kind"
"85",85,"aus","off"
"86",86,"müssen","need"
"87",87,"Haus","house"
"88",88,"Bild","picture"
"89",89,"versuchen","try"
"90",90,"uns","us"
"91",91,"wieder","again"
"92",92,"Tier","animal"
"93",93,"Punkt","point"
"94",94,"Mutter","mother"
"95",95,"Welt","world"
"96",96,"in der Nähe von","near"
"97",97,"bauen","build"
"98",98,"selbst","self"
"99",99,"Erde","earth"
"100",100,"Vater","father"
"101",101,"jeder","any"
"102",102,"neu","new"
"103",103,"Arbeit","work"
"104",104,"Teil","part"
"105",105,"nehmen","take"
"106",106,"erhalten","get"
"107",107,"Ort","place"
"108",108,"gemacht","made"
"109",109,"leben","live"
"110",110,"wo","where"
"111",111,"nach","after"
"112",112,"zurück","back"
"113",113,"wenig","little"
"114",114,"nur","only"
"115",115,"Runde","round"
"116",116,"Mann","man"
"117",117,"Jahr","year"
"118",118,"kam","came"
"119",119,"zeigen","show"
"120",120,"jeder","every"
"121",121,"gut","good"
"122",122,"mir","me"
"123",123,"geben","give"
"124",124,"unsere","our"
"125",125,"unter","under"
"126",126,"Name","name"
"127",127,"sehr","very"
"128",128,"durch","through"
"129",129,"nur","just"
"130",130,"Formular","form"
"131",131,"Satz","sentence"
"132",132,"groß","great"
"133",133,"denken","think"
"134",134,"sagen","say"
"135",135,"Hilfe","help"
"136",136,"niedrig","low"
"137",137,"Linie","line"
"138",138,"abweichen","differ"
"139",139,"wiederum","turn"
"140",140,"Ursache","cause"
"141",141,"viel","much"
"142",142,"bedeuten","mean"
"143",143,"vor","before"
"144",144,"Umzug","move"
"145",145,"Recht","right"
"146",146,"Junge","boy"
"147",147,"alt","old"
"148",148,"zu","too"
"149",149,"gleich","same"
"150",150,"sie","she"
"151",151,"alle","all"
"152",152,"da","there"
"153",153,"wenn","when"
"154",154,"nach oben","up"
"155",155,"Verwendung","use"
"156",156,"Ihre","your"
"157",157,"Weg","way"
"158",158,"über","about"
"159",159,"viele","many"
"160",160,"dann","then"
"161",161,"sie","them"
"162",162,"schreiben","write"
"163",163,"würde","would"
"164",164,"wie","like"
"165",165,"so","so"
"166",166,"diese","these"
"167",167,"sie","her"
"168",168,"lange","long"
"169",169,"machen","make"
"170",170,"Sache","thing"
"171",171,"sehen","see"
"172",172,"ihm","him"
"173",173,"zwei","two"
"174",174,"hat","has"
"175",175,"suchen","look"
"176",176,"mehr","more"
"177",177,"Tag","day"
"178",178,"könnte","could"
"179",179,"gehen","go"
"180",180,"kommen","come"
"181",181,"tat","did"
"182",182,"Anzahl","number"
"183",183,"klingen","sound"
"184",184,"nicht","no"
"185",185,"am meisten","most"
"186",186,"Menschen","people"
"187",187,"meine","my"
"188",188,"über","over"
"189",189,"wissen","know"
"190",190,"Wasser","water"
"191",191,"als","than"
"192",192,"Anruf","call"
"193",193,"erste","first"
"194",194,"die","who"
"195",195,"können","may"
"196",196,"nach unten","down"
"197",197,"Seite","side"
"198",198,"gewesen","been"
"199",199,"jetzt","now"
"200",200,"finden","find"
"201",201,"Kopf","head"
"202",202,"stehen","stand"
"203",203,"besitzen","own"
"204",204,"Seite","page"
"205",205,"sollte","should"
"206",206,"Land","country"
"207",207,"gefunden","found"
"208",208,"Antwort","answer"
"209",209,"Schule","school"
"210",210,"wachsen","grow"
"211",211,"Studie","study"
"212",212,"noch","still"
"213",213,"lernen","learn"
"214",214,"Anlage","plant"
"215",215,"Abdeckung","cover"
"216",216,"Lebensmittel","food"
"217",217,"Sonne","sun"
"218",218,"vier","four"
"219",219,"zwischen","between"
"220",220,"Zustand","state"
"221",221,"halten","keep"
"222",222,"Auge","eye"
"223",223,"nie","never"
"224",224,"letzte","last"
"225",225,"lassen","let"
"226",226,"Gedanken","thought"
"227",227,"Stadt","city"
"228",228,"Baum","tree"
"229",229,"überqueren","cross"
"230",230,"Bauernhof","farm"
"231",231,"schwer","hard"
"232",232,"Beginn","start"
"233",233,"Macht","might"
"234",234,"Geschichte","story"
"235",235,"Säge","saw"
"236",236,"weit","far"
"237",237,"Meer","sea"
"238",238,"ziehen","draw"
"239",239,"links","left"
"240",240,"spät","late"
"241",241,"laufen","run"
"242",242,"unterlassen Sie","don’t"
"243",243,"während","while"
"244",244,"Presse","press"
"245",245,"Schließen","close"
"246",246,"Nacht","night"
"247",247,"realen","real"
"248",248,"Leben","life"
"249",249,"wenige","few"
"250",250,"Norden","north"
"251",251,"Buch","book"
"252",252,"tragen","carry"
"253",253,"nahm","took"
"254",254,"Wissenschaft","science"
"255",255,"essen","eat"
"256",256,"Zimmer","room"
"257",257,"Freund","friend"
"258",258,"begann","began"
"259",259,"Idee","idea"
"260",260,"Fisch","fish"
"261",261,"berg","mountain"
"262",262,"Stopp","stop"
"263",263,"einmal","once"
"264",264,"Basis","base"
"265",265,"hören","hear"
"266",266,"Pferd","horse"
"267",267,"Schnitt","cut"
"268",268,"sicher","sure"
"269",269,"beobachten","watch"
"270",270,"Farbe","color"
"271",271,"Gesicht","face"
"272",272,"Holz","wood"
"273",273,"Haupt-","main"
"274",274,"geöffnet","open"
"275",275,"scheinen","seem"
"276",276,"zusammen","together"
"277",277,"nächste","next"
"278",278,"weiß","white"
"279",279,"Kinder","children"
"280",280,"Start","begin"
"281",281,"bekam","got"
"282",282,"gehen","walk"
"283",283,"Beispiel","example"
"284",284,"erleichtern","ease"
"285",285,"Papier","paper"
"286",286,"Gruppe","group"
"287",287,"immer","always"
"288",288,"Musik","music"
"289",289,"diejenigen","those"
"290",290,"beide","both"
"291",291,"Marke","mark"
"292",292,"oft","often"
"293",293,"Schreiben","letter"
"294",294,"bis","until"
"295",295,"Meile","mile"
"296",296,"Fluss","river"
"297",297,"Auto","car"
"298",298,"Füße","feet"
"299",299,"Pflege","care"
"300",300,"zweite","second"
"301",301,"genug","enough"
"302",302,"Ebene","plain"
"303",303,"Mädchen","girl"
"304",304,"üblich","usual"
"305",305,"jung","young"
"306",306,"bereit","ready"
"307",307,"oben","above"
"308",308,"je","ever"
"309",309,"rot","red"
"310",310,"Liste","list"
"311",311,"obwohl","though"
"312",312,"fühlen","feel"
"313",313,"Vortrag","talk"
"314",314,"Vogel","bird"
"315",315,"bald","soon"
"316",316,"Körper","body"
"317",317,"Hund","dog"
"318",318,"Familie","family"
"319",319,"direkt","direct"
"320",320,"Pose","pose"
"321",321,"verlassen","leave"
"322",322,"Lied","song"
"323",323,"messen","measure"
"324",324,"Tür","door"
"325",325,"Produkt","product"
"326",326,"schwarz","black"
"327",327,"kurz","short"
"328",328,"Zahl","numeral"
"329",329,"Klasse","class"
"330",330,"Wind","wind"
"331",331,"Frage","question"
"332",332,"passieren","happen"
"333",333,"vollständig","complete"
"334",334,"Schiff","ship"
"335",335,"Bereich","area"
"336",336,"Hälfte","half"
"337",337,"Stein","rock"
"338",338,"bestellen","order"
"339",339,"Feuer","fire"
"340",340,"Süden","south"
"341",341,"Problem","problem"
"342",342,"Stück","piece"
"343",343,"sagte","told"
"344",344,"wusste","knew"
"345",345,"passieren","pass"
"346",346,"seit","since"
"347",347,"obere","top"
"348",348,"ganze","whole"
"349",349,"König","king"
"350",350,"Straße","street"
"351",351,"Zoll","inch"
"352",352,"multiplizieren","multiply"
"353",353,"nichts","nothing"
"354",354,"Kurs","course"
"355",355,"bleiben","stay"
"356",356,"Rad","wheel"
"357",357,"voll","full"
"358",358,"Kraft","force"
"359",359,"blau","blue"
"360",360,"Objekt","object"
"361",361,"entscheiden","decide"
"362",362,"Oberfläche","surface"
"363",363,"tief","deep"
"364",364,"Mond","moon"
"365",365,"Insel","island"
"366",366,"Fuß","foot"
"367",367,"System","system"
"368",368,"beschäftigt","busy"
"369",369,"Prüfung","test"
"370",370,"Rekord","record"
"371",371,"Boot","boat"
"372",372,"gemeinsam","common"
"373",373,"goldenen","gold"
"374",374,"möglich","possible"
"375",375,"Flugzeug","plane"
"376",376,"statt","stead"
"377",377,"trocken","dry"
"378",378,"Wunder","wonder"
"379",379,"Lachen","laugh"
"380",380,"tausend","thousand"
"381",381,"vor","ago"
"382",382,"lief","ran"
"383",383,"überprüfen","check"
"384",384,"Spiel","game"
"385",385,"Form","shape"
"386",386,"gleichsetzen","equate"
"387",387,"heiß","hot"
"388",388,"Fehl","miss"
"389",389,"gebracht","brought"
"390",390,"Wärme","heat"
"391",391,"Schnee","snow"
"392",392,"Reifen","tire"
"393",393,"bringen","bring"
"394",394,"ja","yes"
"395",395,"entfernt","distant"
"396",396,"füllen","fill"
"397",397,"Osten","east"
"398",398,"malen","paint"
"399",399,"Sprache","language"
"400",400,"unter","among"
"401",401,"Einheit","unit"
"402",402,"Macht","power"
"403",403,"Stadt","town"
"404",404,"fein","fine"
"405",405,"sicher","certain"
"406",406,"fliegen","fly"
"407",407,"fallen","fall"
"408",408,"führen","lead"
"409",409,"Schrei","cry"
"410",410,"dunkel","dark"
"411",411,"Maschine","machine"
"412",412,"note","note"
"413",413,"warten","wait"
"414",414,"Plan","plan"
"415",415,"Abbildung","figure"
"416",416,"Stern","star"
"417",417,"Kasten","box"
"418",418,"Nomen","noun"
"419",419,"Feld","field"
"420",420,"Rest","rest"
"421",421,"richtig","correct"
"422",422,"fähig","able"
"423",423,"Pfund","pound"
"424",424,"getan","done"
"425",425,"Schönheit","beauty"
"426",426,"Antriebs","drive"
"427",427,"stand","stood"
"428",428,"enthalten","contain"
"429",429,"Front","front"
"430",430,"lehren","teach"
"431",431,"Woche","week"
"432",432,"Finale","final"
"433",433,"gab","gave"
"434",434,"grün","green"
"435",435,"oh","oh"
"436",436,"schnell","quick"
"437",437,"entwickeln","develop"
"438",438,"Ozean","ocean"
"439",439,"warme","warm"
"440",440,"kostenlos","free"
"441",441,"Minute","minute"
"442",442,"stark","strong"
"443",443,"besondere","special"
"444",444,"Geist","mind"
"445",445,"hinter","behind"
"446",446,"klar","clear"
"447",447,"Schwanz","tail"
"448",448,"produzieren","produce"
"449",449,"Tatsache","fact"
"450",450,"Raum","space"
"451",451,"gehört","heard"
"452",452,"beste","best"
"453",453,"Stunde","hour"
"454",454,"besser","better"
"455",455,"wahr","true"
"456",456,"während","during"
"457",457,"hundert","hundred"
"458",458,"fünf","five"
"459",459,"merken","remember"
"460",460,"Schritt","step"
"461",461,"früh","early"
"462",462,"halten","hold"
"463",463,"Westen","west"
"464",464,"Boden","ground"
"465",465,"Interesse","interest"
"466",466,"erreichen","reach"
"467",467,"schnell","fast"
"468",468,"Verbum","verb"
"469",469,"singen","sing"
"470",470,"hören","listen"
"471",471,"sechs","six"
"472",472,"Tabelle","table"
"473",473,"Reise","travel"
"474",474,"weniger","less"
"475",475,"Morgen","morning"
"476",476,"zehn","ten"
"477",477,"einfach","simple"
"478",478,"mehrere","several"
"479",479,"Vokal","vowel"
"480",480,"auf","toward"
"481",481,"Krieg","war"
"482",482,"legen","lay"
"483",483,"gegen","against"
"484",484,"Muster","pattern"
"485",485,"schleppend","slow"
"486",486,"Zentrum","center"
"487",487,"Liebe","love"
"488",488,"Person","person"
"489",489,"Geld","money"
"490",490,"dienen","serve"
"491",491,"erscheinen","appear"
"492",492,"Straße","road"
"493",493,"Karte","map"
"494",494,"regen","rain"
"495",495,"Regel","rule"
"496",496,"regieren","govern"
"497",497,"ziehen","pull"
"498",498,"Kälte","cold"
"499",499,"Hinweis","notice"
"500",500,"Stimme","voice"
"501",501,"Energie","energy"
"502",502,"Jagd","hunt"
"503",503,"wahrscheinlich","probable"
"504",504,"Bett","bed"
"505",505,"Bruder","brother"
"506",506,"Ei","egg"
"507",507,"Fahrt","ride"
"508",508,"Zelle","cell"
"509",509,"glauben","believe"
"510",510,"vielleicht","perhaps"
"511",511,"pflücken","pick"
"512",512,"plötzlich","sudden"
"513",513,"zählen","count"
"514",514,"Platz","square"
"515",515,"Grund","reason"
"516",516,"Dauer","length"
"517",517,"vertreten","represent"
"518",518,"Kunst","art"
