"","Number","German","English"
"519",519,"Thema","subject"
"520",520,"Region","region"
"521",521,"Größe","size"
"522",522,"variieren","vary"
"523",523,"regeln","settle"
"524",524,"sprechen","speak"
"525",525,"Gewicht","weight"
"526",526,"allgemein","general"
"527",527,"Eis","ice"
"528",528,"Materie","matter"
"529",529,"Kreis","circle"
"530",530,"Paar","pair"
"531",531,"umfassen","include"
"532",532,"Kluft","divide"
"533",533,"Silbe","syllable"
"534",534,"Filz","felt"
"535",535,"groß","grand"
"536",536,"Kugel","ball"
"537",537,"noch","yet"
"538",538,"Welle","wave"
"539",539,"fallen","drop"
"540",540,"Herz","heart"
"541",541,"Uhr","am"
"542",542,"vorhanden","present"
"543",543,"schwer","heavy"
"544",544,"Tanz","dance"
"545",545,"Motor","engine"
"546",546,"Position","position"
"547",547,"Arm","arm"
"548",548,"breit","wide"
"549",549,"Segel","sail"
"550",550,"Material","material"
"551",551,"Fraktion","fraction"
"552",552,"Wald","forest"
"553",553,"sitzen","sit"
"554",554,"Rennen","race"
"555",555,"Fenster","window"
"556",556,"Speicher","store"
"557",557,"Sommer","summer"
"558",558,"Zug","train"
"559",559,"Schlaf","sleep"
"560",560,"beweisen","prove"
"561",561,"einsam","lone"
"562",562,"Bein","leg"
"563",563,"Übung","exercise"
"564",564,"Wand","wall"
"565",565,"Fang","catch"
"566",566,"Berg","mount"
"567",567,"wünschen","wish"
"568",568,"Himmel","sky"
"569",569,"Board","board"
"570",570,"Freude","joy"
"571",571,"Winter","winter"
"572",572,"sa","sat"
"573",573,"geschrieben","written"
"574",574,"wilden","wild"
"575",575,"Instrument","instrument"
"576",576,"gehalten","kept"
"577",577,"Glas","glass"
"578",578,"Gras","grass"
"579",579,"Kuh","cow"
"580",580,"Arbeit","job"
"581",581,"Rand","edge"
"582",582,"Zeichen","sign"
"583",583,"Besuch","visit"
"584",584,"Vergangenheit","past"
"585",585,"weich","soft"
"586",586,"Spaß","fun"
"587",587,"hell","bright"
"588",588,"Gases","gas"
"589",589,"Wetter","weather"
"590",590,"Monat","month"
"591",591,"Million","million"
"592",592,"tragen","bear"
"593",593,"Finish","finish"
"594",594,"glücklich","happy"
"595",595,"hoffen","hope"
"596",596,"blume","flower"
"597",597,"kleiden","clothe"
"598",598,"seltsam","strange"
"599",599,"Vorbei","gone"
"600",600,"Handel","trade"
"601",601,"Melodie","melody"
"602",602,"Reise","trip"
"603",603,"Büro","office"
"604",604,"empfangen","receive"
"605",605,"Reihe","row"
"606",606,"Mund","mouth"
"607",607,"genau","exact"
"608",608,"Zeichen","symbol"
"609",609,"sterben","die"
"610",610,"am wenigsten","least"
"611",611,"Ärger","trouble"
"612",612,"Schrei","shout"
"613",613,"außer","except"
"614",614,"schrieb","wrote"
"615",615,"Samen","seed"
"616",616,"Ton","tone"
"617",617,"beitreten","join"
"618",618,"vorschlagen","suggest"
"619",619,"sauber","clean"
"620",620,"Pause","break"
"621",621,"Dame","lady"
"622",622,"Hof","yard"
"623",623,"steigen","rise"
"624",624,"schlecht","bad"
"625",625,"Schlag","blow"
"626",626,"Öl","oil"
"627",627,"Blut","blood"
"628",628,"berühren","touch"
"629",629,"wuchs","grew"
"630",630,"Cent","cent"
"631",631,"mischen","mix"
"632",632,"Mannschaft","team"
"633",633,"Draht","wire"
"634",634,"Kosten","cost"
"635",635,"verloren","lost"
"636",636,"braun","brown"
"637",637,"tragen","wear"
"638",638,"Garten","garden"
"639",639,"gleich","equal"
"640",640,"gesendet","sent"
"641",641,"wählen","choose"
"642",642,"fiel","fell"
"643",643,"passen","fit"
"644",644,"fließen","flow"
"645",645,"Messe","fair"
"646",646,"Bank","bank"
"647",647,"sammeln","collect"
"648",648,"sparen","save"
"649",649,"Kontrolle","control"
"650",650,"dezimal","decimal"
"651",651,"Ohr","ear"
"652",652,"sonst","else"
"653",653,"ganz","quite"
"654",654,"pleite","broke"
"655",655,"Fall","case"
"656",656,"Mitte","middle"
"657",657,"töten","kill"
"658",658,"Sohn","son"
"659",659,"See","lake"
"660",660,"Moment","moment"
"661",661,"Maßstab","scale"
"662",662,"laut","loud"
"663",663,"Frühling","spring"
"664",664,"beobachten","observe"
"665",665,"Kind","child"
"666",666,"gerade","straight"
"667",667,"Konsonant","consonant"
"668",668,"Nation","nation"
"669",669,"Wörterbuch","dictionary"
"670",670,"milch","milk"
"671",671,"Geschwindigkeit","speed"
"672",672,"Verfahren","method"
"673",673,"Orgel","organ"
"674",674,"zahlen","pay"
"675",675,"Alter","age"
"676",676,"Abschnitt","section"
"677",677,"Kleid","dress"
"678",678,"Wolke","cloud"
"679",679,"Überraschung","surprise"
"680",680,"ruhig","quiet"
"681",681,"Stein","stone"
"682",682,"winzig","tiny"
"683",683,"Aufstieg","climb"
"684",684,"kühlen","cool"
"685",685,"Entwurf","design"
"686",686,"arm","poor"
"687",687,"Menge","lot"
"688",688,"Versuch","experiment"
"689",689,"Boden","bottom"
"690",690,"Schlüssel","key"
"691",691,"Eisen","iron"
"692",692,"Einzel","single"
"693",693,"Stick","stick"
"694",694,"Wohnung","flat"
"695",695,"zwanzig","twenty"
"696",696,"Haut","skin"
"697",697,"Lächeln","smile"
"698",698,"Falte","crease"
"699",699,"Loch","hole"
"700",700,"springen","jump"
"701",701,"Kind","baby"
"702",702,"acht","eight"
"703",703,"Dorf","village"
"704",704,"treffen","meet"
"705",705,"Wurzel","root"
"706",706,"kaufen","buy"
"707",707,"erhöhen","raise"
"708",708,"lösen","solve"
"709",709,"Metall","metal"
"710",710,"ob","whether"
"711",711,"drücken","push"
"712",712,"sieben","seven"
"713",713,"Absatz","paragraph"
"714",714,"dritte","third"
"715",715,"wird","shall"
"716",716,"Hand","held"
"717",717,"Haar","hair"
"718",718,"beschreiben","describe"
"719",719,"Koch","cook"
"720",720,"Boden","floor"
"721",721,"entweder","either"
"722",722,"Ergebnis","result"
"723",723,"brennen","burn"
"724",724,"Hügel","hill"
"725",725,"sicher","safe"
"726",726,"Katze","cat"
"727",727,"Jahrhundert","century"
"728",728,"betrachten","consider"
"729",729,"Typ","type"
"730",730,"Gesetz","law"
"731",731,"Bit","bit"
"732",732,"Küste","coast"
"733",733,"Kopie","copy"
"734",734,"Ausdruck","phrase"
"735",735,"still","silent"
"736",736,"hoch","tall"
"737",737,"Sand","sand"
"738",738,"Boden","soil"
"739",739,"Rolle","roll"
"740",740,"Temperatur","temperature"
"741",741,"Finger","finger"
"742",742,"Industrie","industry"
"743",743,"Wert","value"
"744",744,"Kampf","fight"
"745",745,"Lüge","lie"
"746",746,"schlagen","beat"
"747",747,"begeistern","excite"
"748",748,"natürlich","natural"
"749",749,"Blick","view"
"750",750,"Sinn","sense"
"751",751,"Hauptstadt","capital"
"752",752,"wird nicht","won’t"
"753",753,"Stuhl","chair"
"754",754,"Achtung","danger"
"755",755,"Obst","fruit"
"756",756,"reich","rich"
"757",757,"dick","thick"
"758",758,"Soldat","soldier"
"759",759,"Prozess","process"
"760",760,"betreiben","operate"
"761",761,"Praxis","practice"
"762",762,"trennen","separate"
"763",763,"schwierig","difficult"
"764",764,"Arzt","doctor"
"765",765,"Bitte","please"
"766",766,"schützen","protect"
"767",767,"Mittag","noon"
"768",768,"Ernte","crop"
"769",769,"modernen","modern"
"770",770,"Elementes","element"
"771",771,"treffen","hit"
"772",772,"Schüler","student"
"773",773,"Ecke","corner"
"774",774,"Partei","party"
"775",775,"Versorgung","supply"
"776",776,"deren","whose"
"777",777,"lokalisieren","locate"
"778",778,"Rings","ring"
"779",779,"Charakter","character"
"780",780,"insekt","insect"
"781",781,"gefangen","caught"
"782",782,"Zeit","period"
"783",783,"zeigen","indicate"
"784",784,"Funk","radio"
"785",785,"Speiche","spoke"
"786",786,"Atom","atom"
"787",787,"Mensch","human"
"788",788,"Geschichte","history"
"789",789,"Wirkung","effect"
"790",790,"elektrisch","electric"
"791",791,"erwarten","expect"
"792",792,"Knochen","bone"
"793",793,"Schiene","rail"
"794",794,"vorstellen","imagine"
"795",795,"bieten","provide"
"796",796,"zustimmen","agree"
"797",797,"so","thus"
"798",798,"sanft","gentle"
"799",799,"Frau","woman"
"800",800,"Kapitän","captain"
"801",801,"erraten","guess"
"802",802,"erforderlich","necessary"
"803",803,"scharf","sharp"
"804",804,"Flügel","wing"
"805",805,"schaffen","create"
"806",806,"Nachbar","neighbor"
"807",807,"Wasch","wash"
"808",808,"Fledermaus","bat"
"809",809,"eher","rather"
"810",810,"Menge","crowd"
"811",811,"mais","corn"
"812",812,"vergleichen","compare"
"813",813,"Gedicht","poem"
"814",814,"Schnur","string"
"815",815,"Glocke","bell"
"816",816,"abhängen","depend"
"817",817,"Fleisch","meat"
"818",818,"einreiben","rub"
"819",819,"Rohr","tube"
"820",820,"berühmt","famous"
"821",921,"Dollar","dollar"
"822",822,"Strom","stream"
"823",823,"Angst","fear"
"824",284,"Blick","sight"
"825",825,"dünn","thin"
"826",826,"Dreieck","triangle"
"827",827,"Erde","planet"
"828",828,"Eile","hurry"
"829",829,"Chef","chief"
"830",830,"Kolonie","colony"
"831",831,"Uhr","clock"
"832",832,"Mine","mine"
"833",833,"Krawatte","tie"
"834",834,"eingeben","enter"
"835",835,"Dur","major"
"836",836,"frisch","fresh"
"837",837,"Suche","search"
"838",838,"senden","send"
"839",839,"gelb","yellow"
"840",840,"Pistole","gun"
"841",841,"erlauben","allow"
"842",842,"Druck","print"
"843",843,"tot","dead"
"844",844,"Stelle","spot"
"845",845,"Wüste","desert"
"846",846,"Anzug","suit"
"847",847,"Strom","current"
"848",848,"Aufzug","lift"
"849",840,"stiegen","rose"
"850",850,"ankommen","arrive"
"851",851,"Stamm","master"
"852",852,"Spur","track"
"853",853,"Elternteil","parent"
"854",854,"Ufer","shore"
"855",855,"Teilung","division"
"856",856,"Blatt","sheet"
"857",857,"Substanz","substance"
"858",858,"begünstigen","favor"
"859",859,"verbinden","connect"
"860",860,"nach","post"
"861",861,"verbringen","spend"
"862",862,"Akkord","chord"
"863",863,"Fett","fat"
"864",864,"froh","glad"
"865",865,"Original","original"
"866",866,"Aktie","share"
"867",867,"Station","station"
"868",868,"Papa","dad"
"869",869,"Brot","bread"
"870",870,"aufladen","charge"
"871",871,"richtig","proper"
"872",872,"Leiste","bar"
"873",873,"Angebot","offer"
"874",874,"Segment","segment"
"875",875,"Sklave","slave"
"876",876,"ente","duck"
"877",877,"Augenblick","instant"
"878",878,"Markt","market"
"879",879,"Grad","degree"
"880",880,"besiedeln","populate"
"881",881,"küken","chick"
"882",882,"liebe","dear"
"883",883,"Feind","enemy"
"884",884,"antworten","reply"
"885",885,"Getränk","drink"
"886",886,"auftreten","occur"
"887",887,"Unterstützung","support"
"888",888,"Rede","speech"
"889",889,"Natur","nature"
"890",890,"Angebot","range"
"891",891,"Dampf","steam"
"892",892,"Bewegung","motion"
"893",893,"Weg","path"
"894",894,"Flüssigkeit","liquid"
"895",895,"protokollieren","log"
"896",896,"gemeint","meant"
"897",897,"Quotient","quotient"
"898",898,"Gebiss","teeth"
"899",899,"Schale","shell"
"900",900,"Hals","neck"
"901",901,"Sauerstoff","oxygen"
"902",902,"Zucker","sugar"
"903",903,"Tod","death"
"904",904,"ziemlich","pretty"
"905",905,"Geschicklichkeit","skill"
"906",906,"Frauen","women"
"907",907,"Saison","season"
"908",908,"Lösung","solution"
"909",909,"Magnet","magnet"
"910",910,"Silber","silver"
"911",911,"danken","thank"
"912",912,"Zweig","branch"
"913",913,"Spiel","match"
"914",914,"Suffix","suffix"
"915",915,"insbesondere","especially"
"916",916,"Feige","fig"
"917",917,"ängstlich","afraid"
"918",918,"riesig","huge"
"919",919,"Schwester","sister"
"920",920,"Stahl","steel"
"921",921,"diskutieren","discuss"
"922",922,"vorwärts","forward"
"923",923,"ähnlich","similar"
"924",924,"führen","guide"
"925",925,"Erfahrung","experience"
"926",926,"Partitur","score"
"927",927,"apfel","apple"
"928",928,"gekauft","bought"
"929",929,"geführt","led"
"930",930,"Tonhöhe","pitch"
"931",931,"Mantel","coat"
"932",932,"Masse","mass"
"933",933,"Karte","card"
"934",934,"Band","band"
"935",935,"Seil","rope"
"936",936,"Rutsch","slip"
"937",937,"gewinnen","win"
"938",938,"träumen","dream"
"939",939,"Abend","evening"
"940",940,"Zustand","condition"
"941",941,"Futtermittel","feed"
"942",942,"Werkzeug","tool"
"943",943,"gesamt","total"
"944",944,"Basis","basic"
"945",945,"Geruch","smell"
"946",946,"Tal","valley"
"947",947,"noch","nor"
"948",948,"doppelt","double"
"949",949,"Sitz","seat"
"950",950,"fortsetzen","continue"
"951",951,"Block","block"
"952",952,"Tabelle","chart"
"953",953,"Hut","hat"
"954",954,"verkaufen","sell"
"955",955,"Erfolg","success"
"956",956,"Firma","company"
"957",957,"subtrahieren","subtract"
"958",958,"Veranstaltung","event"
"959",959,"besondere","particular"
"960",960,"viel","deal"
"961",961,"schwimmen","swim"
"962",962,"Begriff","term"
"963",963,"Gegenteil","opposite"
"964",964,"Frau","wife"
"965",965,"Schuh","shoe"
"966",966,"Schulter","shoulder"
"967",967,"Verbreitung","spread"
"968",968,"arrangieren","arrange"
"969",969,"Lager","camp"
"970",970,"erfinden","invent"
"971",971,"Baumwolle","cotton"
"972",972,"geboren","born"
"973",973,"bestimmen","determine"
"974",974,"Quart","quart"
"975",975,"neun","nine"
"976",976,"Lastwagen","truck"
"977",977,"Lärm","noise"
"978",978,"Ebene","level"
"979",979,"Chance","chance"
"980",980,"sammeln","gather"
"981",981,"Geschäft","shop"
"982",982,"Stretch","stretch"
"983",983,"werfen","throw"
"984",984,"Glanz","shine"
"985",985,"Immobilien","property"
"986",986,"Spalte","column"
"987",987,"Molekül","molecule"
"988",988,"wählen","select"
"989",989,"falsch","wrong"
"990",990,"grau","gray"
"991",991,"Wiederholung","repeat"
"992",992,"erfordern","require"
"993",993,"breit","broad"
"994",994,"vorbereiten","prepare"
"995",995,"Salz","salt"
"996",996,"Nase","nose"
"997",997,"mehreren","plural"
"998",998,"Zorn","anger"
"999",999,"Anspruch","claim"
"1000",1000,"Kontinent","continent"
